,precision,recall,f1-score,support
AF,0.8987341772151899,0.9044585987261147,0.9015873015873016,157.0
Bradikardia,0.8181818181818182,0.5625,0.6666666666666666,64.0
Normal,0.9765494137353434,0.9853521126760564,0.9809310151430174,1775.0
Takikardia,0.8876404494382022,0.9186046511627907,0.9028571428571428,86.0
accuracy,0.9634966378482228,0.9634966378482228,0.9634966378482228,0.9634966378482228
macro avg,0.8952764646426385,0.8427288406412404,0.8630105315635321,2082.0
weighted avg,0.9621408214305193,0.9634966378482228,0.9620625068109717,2082.0
