epoch,accuracy,loss,val_accuracy,val_loss
0,0.800000011920929,1.125802755355835,0.9108003973960876,0.9421305656433105
1,0.9250451326370239,0.8821631073951721,0.9344262480735779,0.8289464712142944
2,0.9456351399421692,0.7912682294845581,0.9585342407226562,0.746681809425354
3,0.9523780941963196,0.7104342579841614,0.9537126421928406,0.6753274202346802
4,0.9541240334510803,0.6391471028327942,0.9556412696838379,0.6063025593757629
5,0.9587597846984863,0.5768551826477051,0.964320182800293,0.5518404841423035
6,0.9604455232620239,0.5294243693351746,0.9585342407226562,0.510559618473053
7,0.9613485932350159,0.49283191561698914,0.9585342407226562,0.48397010564804077
8,0.9658639430999756,0.4681362509727478,0.9676952958106995,0.46210214495658875
9,0.9672486186027527,0.45152994990348816,0.9701060652732849,0.45174849033355713
10,0.9689945578575134,0.4449051022529602,0.9696239233016968,0.447684109210968
11,0.9691752195358276,0.4411507546901703,0.970588207244873,0.4457637071609497
12,0.9684527516365051,0.439948707818985,0.9701060652732849,0.44443458318710327
13,0.9683323502540588,0.439697802066803,0.9701060652732849,0.4430272877216339
14,0.9692354202270508,0.4377211928367615,0.9701060652732849,0.4413340091705322
15,0.9685129523277283,0.4362199604511261,0.970588207244873,0.43998974561691284
16,0.9682721495628357,0.43444469571113586,0.9715525507926941,0.43827176094055176
17,0.9685731530189514,0.4326081871986389,0.9696239233016968,0.43703219294548035
18,0.9668874144554138,0.431332528591156,0.971070408821106,0.43531906604766846
19,0.9685129523277283,0.4295036494731903,0.9720346927642822,0.43331393599510193
20,0.9693558216094971,0.42714181542396545,0.9720346927642822,0.4320102632045746
21,0.968392550945282,0.42567992210388184,0.9725168943405151,0.4299781918525696
22,0.9693558216094971,0.42411401867866516,0.9715525507926941,0.42839953303337097
23,0.968813955783844,0.423682302236557,0.970588207244873,0.427610844373703
24,0.9692354202270508,0.4207860827445984,0.9715525507926941,0.42529842257499695
25,0.9707404971122742,0.4184471368789673,0.971070408821106,0.4236902594566345
26,0.9694160223007202,0.41623079776763916,0.9696239233016968,0.4221761226654053
27,0.9711017608642578,0.4162348806858063,0.971070408821106,0.4204607605934143
28,0.9700180888175964,0.4149032533168793,0.970588207244873,0.41876527667045593
29,0.9695364236831665,0.41215717792510986,0.971070408821106,0.41716256737709045
30,0.9691150188446045,0.41075146198272705,0.971070408821106,0.41562724113464355
31,0.9694160223007202,0.4086170494556427,0.9701060652732849,0.4141346514225006
32,0.9701384902000427,0.40775617957115173,0.970588207244873,0.4130314886569977
33,0.9705598950386047,0.4044560492038727,0.9696239233016968,0.4114503860473633
34,0.9718242287635803,0.4025624990463257,0.9701060652732849,0.40990713238716125
