,precision,recall,f1-score,support
AF,0.8924050632911392,0.8980891719745223,0.8952380952380953,157.0
Bradikardia,0.875,0.546875,0.6730769230769231,64.0
Normal,0.9739033870072182,0.9881690140845071,0.9809843400447428,1775.0
Takikardia,0.891566265060241,0.8604651162790697,0.8757396449704142,86.0
accuracy,0.962536023054755,0.962536023054755,0.962536023054755,0.962536023054755
macro avg,0.9082186788396496,0.8233995755845247,0.8562597508325439,2082.0
weighted avg,0.9613164292361681,0.962536023054755,0.9607061081057531,2082.0
