accuracy,loss,val_accuracy,val_loss
0.8063817024230957,1.124831199645996,0.8987463712692261,0.997896671295166
0.9344972968101501,0.8835362792015076,0.9522661566734314,0.8390311002731323
0.9506321549415588,0.8009622693061829,0.9585342407226562,0.7646043300628662
0.9597230553627014,0.7267115712165833,0.9619093537330627,0.6977208852767944
0.9614689946174622,0.6632364392280579,0.9681774377822876,0.6371156573295593
0.9670680165290833,0.605819582939148,0.970588207244873,0.5930407643318176
0.9706200957298279,0.5609354376792908,0.9681774377822876,0.5533872842788696
0.9726068377494812,0.527592658996582,0.9662488102912903,0.5268132090568542
0.974894642829895,0.5034435391426086,0.9681774377822876,0.5090049505233765
0.975376307964325,0.4878169298171997,0.9667309522628784,0.5001464486122131
0.9782059192657471,0.48039087653160095,0.9681774377822876,0.49674496054649353
0.9783263206481934,0.4784265458583832,0.9676952958106995,0.4961390793323517
0.9783865213394165,0.47729310393333435,0.9691417813301086,0.4951278269290924
0.9794701933860779,0.4755077064037323,0.9681774377822876,0.4939682185649872
0.9787477254867554,0.4734727144241333,0.9686595797538757,0.49299347400665283
0.9797109961509705,0.47265052795410156,0.9686595797538757,0.49175316095352173
0.9795905947685242,0.47122466564178467,0.9681774377822876,0.49072402715682983
0.9791691899299622,0.4700504541397095,0.9676952958106995,0.4895908832550049
0.979530394077301,0.4673686623573303,0.9681774377822876,0.48832759261131287
0.9801926612854004,0.46517810225486755,0.9691417813301086,0.48676788806915283
0.9801324605941772,0.4652397930622101,0.9691417813301086,0.48504436016082764
0.9803732633590698,0.4626571834087372,0.9696239233016968,0.48438599705696106
0.9799518585205078,0.46062132716178894,0.9676952958106995,0.48392170667648315
0.9810355305671692,0.4593057632446289,0.9681774377822876,0.48225167393684387
0.9803732633590698,0.4576033353805542,0.9681774377822876,0.48125556111335754
0.9807947278022766,0.4574987590312958,0.9691417813301086,0.4798238277435303
0.9808549284934998,0.45563551783561707,0.9691417813301086,0.4783352315425873
0.9805538654327393,0.4548938572406769,0.9691417813301086,0.47678378224372864
0.9813967347145081,0.4526883661746979,0.9686595797538757,0.47546055912971497
0.9815171360969543,0.4499577581882477,0.9691417813301086,0.4743978679180145
0.9812161326408386,0.44872039556503296,0.9696239233016968,0.4733203053474426
0.9820590019226074,0.44722092151641846,0.9691417813301086,0.47250136733055115
0.9814569354057312,0.4458884298801422,0.9686595797538757,0.4715656042098999
0.9818181991577148,0.4441649317741394,0.9676952958106995,0.47032198309898376
0.9818181991577148,0.4433169662952423,0.9681774377822876,0.4688262343406677
