,precision,recall,f1-score,support
AF,0.8248175182481752,0.7197452229299363,0.7687074829931972,157.0
Bradikardia,0.6326530612244898,0.484375,0.5486725663716814,64.0
Normal,0.9569060773480663,0.9757746478873239,0.9662482566248256,1775.0
Takikardia,0.8372093023255814,0.8372093023255814,0.8372093023255814,86.0
accuracy,0.9356388088376562,0.9356388088376562,0.9356388088376562,0.9356388088376562
macro avg,0.8128964897865782,0.7542760432857104,0.7802094020788214,2082.0
weighted avg,0.9320338297676025,0.9356388088376562,0.9331857706949015,2082.0
