epoch,accuracy,loss,val_accuracy,val_loss
0,0.7043949365615845,0.5001095533370972,0.8524590134620667,0.2814491391181946
1,0.818663477897644,0.29946592450141907,0.8645130395889282,0.20504944026470184
2,0.8459963798522949,0.2280636429786682,0.8900675177574158,0.15035535395145416
3,0.8639373779296875,0.18962912261486053,0.9088717699050903,0.12511315941810608
4,0.8826008439064026,0.16582873463630676,0.920443594455719,0.11310045421123505
5,0.8903070688247681,0.15323057770729065,0.9276759624481201,0.10706742107868195
6,0.899036705493927,0.14140024781227112,0.9257473349571228,0.10578102618455887
7,0.9035520553588867,0.13568267226219177,0.933944046497345,0.10030856728553772
8,0.907886803150177,0.1299784630537033,0.9387656450271606,0.09780619293451309
9,0.9068031311035156,0.12939025461673737,0.9387656450271606,0.09767740964889526
10,0.9131848216056824,0.12345702201128006,0.9387656450271606,0.09721597284078598
11,0.91438889503479,0.1252092570066452,0.9397299885749817,0.09740448743104935
12,0.913546085357666,0.12511810660362244,0.9392478466033936,0.09727853536605835
13,0.9105960130691528,0.12807828187942505,0.9382835030555725,0.09707584977149963
14,0.9120409488677979,0.12499415129423141,0.9387656450271606,0.09696394950151443
15,0.9132450222969055,0.12623094022274017,0.9392478466033936,0.09689901024103165
16,0.9131246209144592,0.12611974775791168,0.9392478466033936,0.09693731367588043
17,0.9116194844245911,0.12464053928852081,0.9397299885749817,0.09680047631263733
18,0.9128236174583435,0.12183699011802673,0.9387656450271606,0.09654122591018677
19,0.9128838181495667,0.12789110839366913,0.9392478466033936,0.09650646150112152
20,0.9140276908874512,0.12341711670160294,0.9402121305465698,0.09642139822244644
21,0.9114990830421448,0.12677699327468872,0.9397299885749817,0.09613484889268875
22,0.912101149559021,0.1229184940457344,0.9406943321228027,0.09586266428232193
23,0.9130042195320129,0.12221702188253403,0.9397299885749817,0.09587310999631882
24,0.9116796851158142,0.12606462836265564,0.9392478466033936,0.09608027338981628
25,0.9103552103042603,0.12440365552902222,0.9402121305465698,0.09594768285751343
26,0.912522554397583,0.12449806183576584,0.9406943321228027,0.09582186490297318
27,0.9139072895050049,0.12316393852233887,0.9397299885749817,0.09597396850585938
28,0.9112582802772522,0.12497822940349579,0.9397299885749817,0.09591313451528549
29,0.9151715636253357,0.12061523646116257,0.9421408176422119,0.0955362543463707
30,0.9128838181495667,0.12336935847997665,0.9402121305465698,0.09573321044445038
31,0.9113184809684753,0.12232113629579544,0.9397299885749817,0.09567023813724518
32,0.9143286943435669,0.12349385023117065,0.9387656450271606,0.09563776850700378
33,0.91487056016922,0.12132804095745087,0.9406943321228027,0.09551318734884262
34,0.9160144329071045,0.1196410059928894,0.9402121305465698,0.09525280445814133
