,precision,recall,f1-score,support
AF,0.6666666666666666,0.025477707006369428,0.049079754601226995,157.0
Bradikardia,1.0,0.015625,0.03076923076923077,64.0
Normal,0.9075025693730729,0.9949295774647887,0.9492072023649557,1775.0
Takikardia,0.5968992248062015,0.8953488372093024,0.7162790697674418,86.0
accuracy,0.8876080691642652,0.8876080691642652,0.8876080691642652,0.8876080691642652
macro avg,0.7927671152114852,0.48284528042011515,0.43633381437571384,2082.0
weighted avg,0.8793549762906843,0.8876080691642652,0.8434762422859844,2082.0
