epoch,accuracy,loss,val_accuracy,val_loss
0,0.7382901906967163,1.3178948163986206,0.8514946699142456,1.1607019901275635
1,0.9030704498291016,0.9056801795959473,0.9276759624481201,0.8275399804115295
2,0.9303431510925293,0.7789008021354675,0.9551591277122498,0.7119576334953308
3,0.9454545378684998,0.6777111887931824,0.9575698971748352,0.6322052478790283
4,0.9527994990348816,0.6015849113464355,0.9652844667434692,0.5630319118499756
5,0.9538229703903198,0.5399844646453857,0.9532305002212524,0.5165368914604187
6,0.9584587812423706,0.4928458034992218,0.9691417813301086,0.4706432521343231
7,0.9611679911613464,0.4573703408241272,0.9676952958106995,0.4418317675590515
8,0.9639374017715454,0.4317820370197296,0.9623914957046509,0.42748668789863586
9,0.966044545173645,0.4181182384490967,0.9696239233016968,0.4157460331916809
10,0.9686333537101746,0.40948086977005005,0.971070408821106,0.41208431124687195
11,0.9698374271392822,0.4074150621891022,0.9701060652732849,0.4109961688518524
12,0.9694762229919434,0.40732327103614807,0.9701060652732849,0.4097902178764343
13,0.9707404971122742,0.4044763445854187,0.9686595797538757,0.4085291028022766
14,0.9708006978034973,0.40207478404045105,0.9696239233016968,0.40722760558128357
15,0.9687537550926208,0.4027535021305084,0.9681774377822876,0.40602919459342957
16,0.9695364236831665,0.40163812041282654,0.9681774377822876,0.4042072594165802
17,0.9703792929649353,0.39897918701171875,0.971070408821106,0.40285298228263855
18,0.9682119488716125,0.3978765904903412,0.9686595797538757,0.40146106481552124
19,0.9676098823547363,0.3960720896720886,0.9681774377822876,0.3999142646789551
20,0.9691752195358276,0.39420610666275024,0.9696239233016968,0.39799872040748596
21,0.9695364236831665,0.39265814423561096,0.9701060652732849,0.3963946998119354
22,0.9708006978034973,0.3895335793495178,0.9686595797538757,0.39541688561439514
23,0.9704996943473816,0.3893321454524994,0.9681774377822876,0.39381614327430725
24,0.9709813594818115,0.38666144013404846,0.9676952958106995,0.39211225509643555
25,0.9698374271392822,0.3863534927368164,0.9696239233016968,0.3905180096626282
26,0.9695966243743896,0.3850015103816986,0.9696239233016968,0.3884337544441223
27,0.970258891582489,0.38519126176834106,0.9691417813301086,0.38698554039001465
28,0.9685731530189514,0.3817214369773865,0.9672130942344666,0.3861253261566162
29,0.9709813594818115,0.37876763939857483,0.9691417813301086,0.38379889726638794
30,0.9708608984947205,0.3776579201221466,0.9691417813301086,0.38302871584892273
31,0.9710415601730347,0.37515443563461304,0.9696239233016968,0.38113853335380554
32,0.970680296421051,0.37504321336746216,0.9696239233016968,0.37975698709487915
33,0.970680296421051,0.3730419874191284,0.9696239233016968,0.37814196944236755
34,0.9710415601730347,0.37184974551200867,0.9686595797538757,0.37677109241485596
