,precision,recall,f1-score,support
AF,0.8961038961038961,0.8789808917197452,0.887459807073955,157.0
Bradikardia,0.8837209302325582,0.59375,0.7102803738317757,64.0
Normal,0.974972191323693,0.9876056338028169,0.9812482507696614,1775.0
Takikardia,0.8735632183908046,0.8837209302325582,0.8786127167630058,86.0
accuracy,0.9630163304514889,0.9630163304514889,0.9630163304514889,0.9630163304514889
macro avg,0.907090059012738,0.83601436393878,0.8644002871095995,2082.0
weighted avg,0.9620309930856675,0.9630163304514889,0.9616068551362208,2082.0
