accuracy,loss,val_accuracy,val_loss
0.7438290119171143,1.3493953943252563,0.8982642292976379,0.9630667567253113
0.9219747185707092,0.921231746673584,0.9435872435569763,0.852413535118103
0.9355809688568115,0.8297703862190247,0.9594985246658325,0.7722719311714172
0.9462974071502686,0.7461784482002258,0.9546769261360168,0.711450457572937
0.9549669027328491,0.6748382449150085,0.964320182800293,0.6412315964698792
0.9561107754707336,0.6173415184020996,0.9696239233016968,0.5880324244499207
0.9617097973823547,0.5700680017471313,0.9667309522628784,0.5485525727272034
0.9633955359458923,0.5324708819389343,0.9657666087150574,0.5203391313552856
0.9644190073013306,0.5080434679985046,0.971070408821106,0.5000870823860168
0.966526210308075,0.4945460557937622,0.9696239233016968,0.4900628626346588
0.9685731530189514,0.48390597105026245,0.9715525507926941,0.48482340574264526
0.9693558216094971,0.4820389151573181,0.971070408821106,0.4841880798339844
0.968392550945282,0.4811503291130066,0.9715525507926941,0.48282352089881897
0.9670078158378601,0.47921308875083923,0.971070408821106,0.4815227687358856
0.9689945578575134,0.4781775176525116,0.9715525507926941,0.4802340567111969
0.9690547585487366,0.47704342007637024,0.971070408821106,0.47822141647338867
0.9695966243743896,0.4748234152793884,0.971070408821106,0.47652676701545715
0.9690547585487366,0.47309210896492004,0.971070408821106,0.4751313328742981
0.9687537550926208,0.47128748893737793,0.9701060652732849,0.4733774960041046
0.9677904844284058,0.47051164507865906,0.9715525507926941,0.4718620479106903
0.9704996943473816,0.4676547348499298,0.9715525507926941,0.4697723388671875
0.9673690795898438,0.46546825766563416,0.9696239233016968,0.46796348690986633
0.9701384902000427,0.46136340498924255,0.970588207244873,0.466485857963562
0.9692956209182739,0.46145200729370117,0.9701060652732849,0.46458491683006287
0.9708608984947205,0.4585036635398865,0.9701060652732849,0.4629754424095154
0.9693558216094971,0.4583982825279236,0.970588207244873,0.46138185262680054
0.9687537550926208,0.45650914311408997,0.9701060652732849,0.45942938327789307
0.9689945578575134,0.45586347579956055,0.9681774377822876,0.45777636766433716
0.9694160223007202,0.45180192589759827,0.9696239233016968,0.4559350907802582
0.9708608984947205,0.4488573372364044,0.9701060652732849,0.4540911018848419
0.9695364236831665,0.4488263428211212,0.9696239233016968,0.45240187644958496
0.9697170257568359,0.44541415572166443,0.9701060652732849,0.45075950026512146
0.9700180888175964,0.44464370608329773,0.9691417813301086,0.44954153895378113
0.9700180888175964,0.44281449913978577,0.9696239233016968,0.44745826721191406
0.9696568250656128,0.4417010545730591,0.9691417813301086,0.445446252822876
