,precision,recall,f1-score,support
AF,0.8360655737704918,0.6496815286624203,0.7311827956989247,157.0
Bradikardia,0.7674418604651163,0.515625,0.616822429906542,64.0
Normal,0.9540229885057471,0.9819718309859155,0.9677956690727374,1775.0
Takikardia,0.8333333333333334,0.872093023255814,0.8522727272727273,86.0
accuracy,0.9380403458213257,0.9380403458213257,0.9380403458213257,0.9380403458213257
macro avg,0.8477159390186721,0.7548428457260374,0.7920184054877328,2082.0
weighted avg,0.9344073224861204,0.9380403458213257,0.9343924599367498,2082.0
