,precision,recall,f1-score,support
AF,1.0,0.025477707006369428,0.049689440993788817,157.0
Bradikardia,0.0,0.0,0.0,64.0
Normal,0.8678414096916299,0.9988732394366198,0.92875851231011,1775.0
Takikardia,0.5714285714285714,0.23255813953488372,0.3305785123966942,86.0
accuracy,0.8631123919308358,0.8631123919308358,0.8631123919308358,0.8631123919308358
macro avg,0.6098174952800504,0.3142272714944682,0.32725661642514825,2082.0
weighted avg,0.8388863397432759,0.8631123919308358,0.809211024809119,2082.0
