,precision,recall,f1-score,support
AF,0.9056603773584906,0.9171974522292994,0.9113924050632911,157.0
Bradikardia,0.8604651162790697,0.578125,0.6915887850467289,64.0
Normal,0.9770949720670391,0.9853521126760564,0.9812061711079944,1775.0
Takikardia,0.8666666666666667,0.9069767441860465,0.8863636363636364,86.0
accuracy,0.9644572526416907,0.9644572526416907,0.9644572526416907,0.9644572526416907
macro avg,0.9024717830928165,0.8469128272728506,0.8676377493954126,2082.0
weighted avg,0.963561650066989,0.9644572526416907,0.9631212854379876,2082.0
